#,ieee,endpoint_id,cluster_type,cluster_id,attr_id,manufacturer_code,manufacturer_code_idx,status,value,last_updated
126,00:00:00:00:00:00:00:04,1,0,1794,0,,-2,0,,1773311270.206643
127,00:00:00:00:00:00:00:04,1,0,2820,1285,,-2,0,,1773311290.471081
128,00:00:00:00:00:00:00:04,1,0,2820,1288,,-2,0,,1773311290.471307
129,00:00:00:00:00:00:00:04,1,0,2820,1295,,-2,0,,1773311290.471446
130,00:00:00:00:00:00:00:04,1,0,2820,1291,,-2,0,,1773311290.471586
131,00:00:00:00:00:00:00:04,1,0,6,0,,-2,0,,1754420121.176234
132,00:00:00:00:00:00:00:04,1,0,0,1,,-2,0,,1773311158.351233
133,00:00:00:00:00:00:00:04,1,0,0,65506,,-2,0,,1773311158.35169
134,00:00:00:00:00:00:00:04,1,0,0,65508,,-2,0,,1773311158.352017
135,00:00:00:00:00:00:00:04,1,0,2820,1296,,-2,0,,1754420193.302317
136,00:00:00:00:00:00:00:05,1,0,0,4,,-2,0,,1766156853.026543
137,00:00:00:00:00:00:00:05,1,0,0,5,,-2,0,,1764184581.564633
138,00:00:00:00:00:00:00:05,1,0,258,8,,-2,0,,1773298800.353447
139,00:00:00:00:00:00:00:05,1,1,25,2,,-2,0,,1773301177.091344
140,00:00:00:00:00:00:00:05,1,0,258,61440,,-2,0,,1773250709.275002
141,00:00:00:00:00:00:00:05,1,0,258,32768,,-2,0,,1764189931.435735
142,00:00:00:00:00:00:00:05,1,0,258,61442,,-2,0,,1764189931.502126
143,00:00:00:00:00:00:00:05,1,0,258,61443,,-2,0,,1765007250.179434
144,00:00:00:00:00:00:00:03,1,0,0,7,,-2,0,,1764184713.07595
145,00:00:00:00:00:00:00:06,1,0,0,4,,-2,0,,1766156853.053902
146,00:00:00:00:00:00:00:06,1,0,0,5,,-2,0,,1764188490.955684
147,00:00:00:00:00:00:00:06,1,0,258,8,,-2,0,,1773298800.415932
148,00:00:00:00:00:00:00:06,1,1,25,2,,-2,0,,1773301177.1217
149,00:00:00:00:00:00:00:06,1,0,258,61440,,-2,0,,1773250698.873661
150,00:00:00:00:00:00:00:06,1,0,258,32768,,-2,0,,1764188900.86156
151,00:00:00:00:00:00:00:06,1,0,258,61442,,-2,0,,1764188900.922183
152,00:00:00:00:00:00:00:06,1,0,258,61443,,-2,0,,1765007520.077674
153,00:00:00:00:00:00:00:02,1,0,2820,513,,-2,134,,1773259058.204477
154,00:00:00:00:00:00:00:02,1,0,2820,512,,-2,134,,1773259058.204289
155,00:00:00:00:00:00:00:02,1,0,2820,515,,-2,134,,1773259058.204809
156,00:00:00:00:00:00:00:02,1,0,2820,514,,-2,134,,1773259058.204628
157,00:00:00:00:00:00:00:02,1,0,2820,517,,-2,134,,1773259058.266495
158,00:00:00:00:00:00:00:02,1,0,2820,516,,-2,134,,1773259058.204981
159,00:00:00:00:00:00:00:02,1,0,2820,256,,-2,134,,1773259058.268974
160,00:00:00:00:00:00:00:02,1,0,2820,259,,-2,134,,1773259058.269202
161,00:00:00:00:00:00:00:02,1,0,2820,262,,-2,134,,1773259058.26939
162,00:00:00:00:00:00:00:02,1,0,0,65506,,-2,0,,1773311216.043173
163,00:00:00:00:00:00:00:02,1,0,0,65508,,-2,0,,1773311216.043388
164,00:00:00:00:00:00:00:04,1,0,0,65503,,-2,0,,1773288130.720676
